Global_warming_in_Canada	['20160601', '20160602', '20160603', '20160604', '20160605']	[5, 4, 3, 2, 1]	15	-3
Heart_of_the_Swarm	['20160601', '20160602', '20160603', '20160604', '20160605']	[2, 2, 6, 4, 1]	15	7
2008_Minnesota_Swarm_season	['20160601', '20160602', '20160603', '20160604']	[2, 1, 8, 3]	14	8
2011_Minnesota_Swarm_season	['20160601', '20160602', '20160603', '20160604']	[2, 1, 8, 3]	14	8
Crocanthes_warmarensis	['20160601', '20160602', '20160603', '20160604', '20160605']	[1, 2, 1, 7, 3]	14	8
Global_warming_in_New_Zealand	['20160601', '20160602', '20160603', '20160604', '20160605']	[4, 1, 4, 3, 1]	13	3
Swarms_(artist)	['20160604', '20160605']	[11, 2]	13	13
2005_Minnesota_Swarm_season	['20160601', '20160602', '20160603', '20160604']	[1, 1, 7, 3]	12	8
Rewarming_shock	['20160601', '20160602', '20160604', '20160605']	[1, 5, 5, 1]	12	0
Audience_warm-up	['20160601', '20160602', '20160603', '20160604', '20160605']	[1, 1, 3, 4, 2]	11	7
Documentary_swarm	['20160601', '20160602', '20160604', '20160605']	[2, 1, 7, 1]	11	5
Gale_Passage_dike_swarm	['20160601', '20160602', '20160603', '20160604', '20160605']	[1, 1, 1, 7, 1]	11	7
Global_warming_sceptics	['20160601', '20160602', '20160603', '20160604', '20160605']	[4, 2, 1, 3, 1]	11	-1
Global_warming_denial	['20160601', '20160603', '20160604', '20160605']	[2, 2, 1, 5]	10	6
Global_warming_in_the_United_States	['20160601', '20160602', '20160603', '20160604', '20160605']	[3, 1, 1, 1, 4]	10	2
Global_warming_scepticism	['20160601', '20160602', '20160603', '20160604', '20160605']	[2, 1, 4, 2, 1]	10	4
Mulawarman_Museum	['20160601', '20160602', '20160603', '20160604', '20160605']	[2, 3, 2, 1, 2]	10	0
Mulawarman_Stadium	['20160601', '20160602', '20160603', '20160604', '20160605']	[3, 2, 1, 2, 2]	10	0
Politics_of_global_warming_(United_States)	['20160601', '20160602', '20160603', '20160605']	[3, 3, 2, 2]	10	-2
Swarm_(ESA_mission)	['20160601', '20160602', '20160604', '20160605']	[3, 3, 3, 1]	10	-2
