Profiteering_(business)	['20160601', '20160602', '20160603', '20160604', '20160605']	[32, 44, 30, 36, 35]	177	25
Housing_Benefit	['20160601', '20160602', '20160603', '20160604', '20160605']	[50, 30, 36, 30, 29]	175	15
Smurfit-Stone_Container	['20160601', '20160602', '20160603', '20160604', '20160605']	[53, 44, 44, 13, 21]	175	-19
For-profit_college	['20160601', '20160602', '20160603', '20160604', '20160605']	[41, 39, 39, 23, 26]	168	8
Griffith_J._Griffith	['20160601', '20160602', '20160603', '20160604', '20160605']	[35, 38, 29, 30, 33]	165	19
Non-profit_journalism	['20160601', '20160602', '20160603', '20160604', '20160605']	[47, 34, 23, 33, 28]	165	3
Martha_Griffiths	['20160601', '20160602', '20160603', '20160604', '20160605']	[46, 37, 31, 24, 26]	164	-2
Shrink-fitting	['20160601', '20160602', '20160603', '20160604', '20160605']	[50, 39, 44, 17, 14]	164	-14
Elly_Griffiths	['20160601', '20160602', '20160603', '20160604', '20160605']	[30, 32, 28, 44, 29]	163	39
Nia_(fitness)	['20160601', '20160602', '20160603', '20160604', '20160605']	[47, 28, 32, 16, 34]	157	7
Alan_fitz_Walter,_2nd_High_Steward_of_Scotland	['20160601', '20160602', '20160603', '20160604', '20160605']	[32, 31, 35, 28, 30]	156	30
Bill_Griffith	['20160601', '20160602', '20160603', '20160604', '20160605']	[38, 27, 41, 27, 23]	156	26
Graffiti_Kingdom	['20160601', '20160602', '20160603', '20160604', '20160605']	[28, 25, 25, 45, 24]	147	41
Dowel_bar_retrofit	['20160601', '20160602', '20160603', '20160604', '20160605']	[30, 34, 36, 25, 15]	140	12
Archie_Bronson_Outfit	['20160601', '20160602', '20160603', '20160604', '20160605']	[25, 19, 48, 21, 25]	138	50
Personality–job_fit_theory	['20160601', '20160602', '20160603', '20160604', '20160605']	[27, 19, 44, 25, 23]	138	46
Benefits_for_US_Veterans_with_PTSD	['20160601', '20160602', '20160603', '20160604', '20160605']	[20, 38, 23, 25, 31]	137	21
Caffitaly	['20160601', '20160602', '20160603', '20160604', '20160605']	[31, 23, 34, 28, 21]	137	29
Benefit	['20160601', '20160602', '20160603', '20160604', '20160605']	[37, 28, 25, 17, 27]	134	4
Griffith_Jones_(actor)	['20160601', '20160602', '20160603', '20160604', '20160605']	[23, 25, 19, 37, 30]	134	38
James_Griffith	['20160601', '20160602', '20160603', '20160604', '20160605']	[23, 25, 26, 23, 31]	128	32
Orphan's_Benefit	['20160601', '20160602', '20160603', '20160604', '20160605']	[28, 24, 18, 30, 28]	128	24
Paul_Griffiths_(writer)	['20160601', '20160602', '20160603', '20160604', '20160605']	[35, 29, 21, 15, 27]	127	-1
Pierre_Lafitte	['20160601', '20160602', '20160603', '20160604', '20160605']	[32, 26, 24, 27, 18]	127	11
New_York_Disability_Benefits_Law	['20160601', '20160602', '20160603', '20160604', '20160605']	[40, 30, 32, 12, 11]	125	-15
Mark_Griffiths	['20160601', '20160602', '20160603', '20160604', '20160605']	[22, 40, 16, 22, 24]	124	0
TVR_Griffith_400	['20160601', '20160602', '20160603', '20160604', '20160605']	[30, 19, 35, 11, 29]	124	26
NDTV_Profit	['20160601', '20160602', '20160603', '20160604', '20160605']	[27, 28, 31, 13, 22]	121	11
Cantor-fitzgerald	['20160604', '20160605']	[2, 118]	120	120
Brett_Moffitt	['20160601', '20160602', '20160603', '20160604', '20160605']	[36, 23, 24, 13, 23]	119	1
Reverse_graffiti	['20160601', '20160602', '20160603', '20160604', '20160605']	[22, 33, 19, 19, 26]	119	9
Benefit_principle	['20160601', '20160602', '20160603', '20160604', '20160605']	[24, 22, 37, 21, 14]	118	26
Roger_Peyrefitte	['20160601', '20160602', '20160603', '20160604', '20160605']	[24, 17, 23, 24, 27]	115	33
The_Misfits_In_Action	['20160601', '20160602', '20160603', '20160604', '20160605']	[23, 30, 20, 21, 19]	113	7
Friends_Without_Benefits	['20160601', '20160602', '20160603', '20160604', '20160605']	[16, 31, 15, 30, 17]	109	15
Porno_Graffitti_discography	['20160601', '20160602', '20160603', '20160604', '20160605']	[60, 8, 13, 15, 13]	109	-27
Profit_model	['20160601', '20160602', '20160603', '20160604', '20160605']	[35, 25, 30, 11, 8]	109	-11
Outfitter	['20160601', '20160602', '20160603', '20160604', '20160605']	[32, 21, 21, 17, 17]	108	2
Retrofit	['20160601', '20160602', '20160603', '20160604', '20160605']	[22, 22, 32, 13, 19]	108	20
Form-fitting_garment	['20160601', '20160602', '20160603', '20160604', '20160605']	[19, 12, 24, 36, 16]	107	45
Katie_Griffiths	['20160601', '20160602', '20160603', '20160604', '20160605']	[21, 26, 19, 18, 23]	107	13
Not-for-profit_corporation	['20160601', '20160602', '20160603', '20160604', '20160605']	[33, 14, 21, 19, 19]	106	12
Unemployment_benefit	['20160601', '20160602', '20160603', '20160604', '20160605']	[27, 18, 31, 14, 16]	106	16
Graffiti_in_Russia	['20160601', '20160602', '20160603', '20160604', '20160605']	[30, 17, 24, 15, 19]	105	11
Thomas_Griffith_Taylor	['20160601', '20160602', '20160603', '20160604', '20160605']	[32, 14, 18, 15, 25]	104	12
Halloween_(Misfits_song)	['20160601', '20160602', '20160603', '20160604', '20160605']	[21, 23, 23, 19, 16]	102	14
Retrofitted	['20160601', '20160602', '20160603', '20160604', '20160605']	[18, 20, 28, 14, 22]	102	26
Benefit_fraud_in_the_United_Kingdom	['20160601', '20160602', '20160603', '20160604', '20160605']	[29, 14, 28, 12, 17]	100	14
Château_Lafite-Rothschild	['20160601', '20160602', '20160603', '20160604', '20160605']	[21, 23, 21, 12, 21]	98	10
Emily_Griffith_Opportunity_School	['20160601', '20160602', '20160603', '20160604', '20160605']	[18, 22, 19, 24, 14]	97	17
Non-profit_organizations	['20160601', '20160602', '20160603', '20160604', '20160605']	[22, 23, 27, 14, 10]	96	6
Sulfite_oxidase	['20160601', '20160602', '20160603', '20160604', '20160605']	[34, 18, 15, 11, 18]	96	-8
Safita	['20160601', '20160602', '20160603', '20160604', '20160605']	[26, 19, 16, 19, 15]	95	5
Confiture_de_lait	['20160601', '20160602', '20160603', '20160604', '20160605']	[18, 13, 21, 24, 18]	94	32
Employee_Benefits_Security_Administration	['20160601', '20160602', '20160603', '20160604', '20160605']	[16, 20, 28, 15, 15]	94	22
Person-environment_fit	['20160601', '20160602', '20160603', '20160604', '20160605']	[19, 21, 24, 15, 15]	94	14
No_Boundaries:_A_Benefit_for_the_Kosovar_Refugees	['20160601', '20160602', '20160603', '20160604', '20160605']	[22, 18, 18, 19, 16]	93	13
Child_benefits_in_the_United_Kingdom	['20160601', '20160602', '20160603', '20160604', '20160605']	[12, 21, 22, 18, 19]	92	26
Griffith_by-election,_2014	['20160601', '20160602', '20160603', '20160604', '20160605']	[13, 19, 26, 18, 15]	91	27
Other_Voices,_Other_Rooms_(Nanci_Griffith_album)	['20160601', '20160602', '20160603', '20160604', '20160605']	[20, 16, 19, 18, 18]	91	19
Charitable_for-profit_entity	['20160601', '20160602', '20160603', '20160604', '20160605']	[21, 17, 19, 19, 14]	90	14
Mervyn_Griffith-Jones	['20160601', '20160602', '20160603', '20160604', '20160605']	[26, 16, 18, 13, 17]	90	6
Anthony_Griffith	['20160601', '20160602', '20160603', '20160604', '20160605']	[16, 31, 22, 11, 9]	89	-5
Brian_Griffiths,_Baron_Griffiths_of_Fforestfach	['20160601', '20160602', '20160603', '20160604', '20160605']	[15, 13, 37, 14, 10]	89	33
Unemployment_benefits_in_Sweden	['20160601', '20160602', '20160603', '20160604', '20160605']	[21, 20, 16, 11, 21]	89	7
Iraq_for_Sale:_The_War_Profiteers	['20160601', '20160602', '20160603', '20160604', '20160605']	[17, 19, 16, 13, 20]	85	13
Not-for-profit_organization	['20160601', '20160602', '20160603', '20160604', '20160605']	[24, 13, 25, 10, 13]	85	11
Andy_Griffith_Museum	['20160601', '20160602', '20160603', '20160604', '20160605']	[21, 21, 24, 11, 7]	84	0
Lucy_Griffiths_(actress,_born_1919)	['20160601', '20160602', '20160603', '20160604', '20160605']	[24, 16, 14, 11, 19]	84	4
Magnesium_sulfite	['20160601', '20160602', '20160603', '20160604', '20160605']	[19, 24, 16, 10, 15]	84	-2
Kathy_Smith_(fitness_personality)	['20160601', '20160602', '20160603', '20160604', '20160605']	[23, 13, 6, 13, 27]	82	10
